id,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
6583804,2008,12,6,6,1805,1755,2146,2035,YV,7281,N505MJ,281,220,177,71,10,IAD,AUS,1297,5,99,0,N,0,71,0,0,0,0
1604365,2008,3,23,7,2120,1200,2241,1333,NW,131,N777NC,81,93,55,548,560,ORD,MSP,334,7,19,0,N,0,543,0,0,0,5
1395655,2008,3,31,1,1731,1710,1819,1810,OO,3676,N224SW,48,60,44,9,21,SLC,PIH,150,3,1,0,N,0,,,,,
178786,2008,1,6,7,1507,1413,1601,1509,OO,6573,N708SK,54,56,32,52,54,HDN,DEN,142,5,17,0,N,0,0,0,0,0,52
2972767,2008,5,22,4,637,630,812,750,CO,1869,N16646,155,140,134,22,7,JAX,IAH,817,5,16,0,N,0,0,0,15,7,0
3524060,2008,6,12,4,2136,2125,2300,2230,AA,2479,N3BHAA,204,185,174,30,11,DFW,LAX,1235,13,17,0,N,0,11,0,19,0,0
643114,2008,2,14,4,1807,1800,1910,1900,WN,47,N523SW,63,60,47,10,7,DAL,HOU,239,7,9,0,N,0,,,,,
1672481,2008,3,23,7,1315,1305,1937,1915,AA,681,N5DYAA,262,250,216,22,10,LAX,ORD,1745,24,22,0,N,0,0,0,22,0,0
4332778,2008,8,31,7,1550,1530,1704,1652,XE,7776,N10575,74,82,60,12,20,LAX,SMF,373,3,11,0,N,0,,,,,
2454537,2008,5,22,4,1814,1640,1923,1755,WN,1412,N468WN,69,75,52,88,94,SJC,LAX,308,5,12,0,N,0,15,0,0,0,73
1759646,2008,3,18,2,2128,1805,42,2122,CO,1408,N37287,134,137,117,200,203,DEN,IAH,861,5,12,0,N,0,0,0,8,0,192
5330731,2008,9,30,2,1218,1200,1416,1405,AS,326,N551AS,118,125,102,11,18,SEA,SJC,697,4,12,0,N,0,,,,,
819959,2008,2,9,6,1202,1126,1348,1319,UA,339,N812UA,166,173,154,29,36,DEN,SEA,1024,4,8,0,N,0,29,0,0,0,0
643231,2008,2,14,4,2123,2040,2312,2235,WN,534,N606SW,109,115,96,37,43,DEN,PHX,602,5,8,0,N,0,8,0,0,0,29
3917469,2008,7,2,3,2240,2130,2353,2305,WN,3758,N658SW,133,155,115,48,70,PHL,MDW,668,3,15,0,N,0,0,0,0,0,48
674267,2008,2,23,6,1919,1900,2040,2025,WN,456,N239WN,81,85,64,15,19,SFO,SAN,447,3,14,0,N,0,0,0,0,0,15
2712842,2008,5,2,5,1512,1505,1710,1648,EV,4316,N870AS,118,103,66,22,7,CVG,ABE,503,2,50,0,N,0,7,0,15,0,0
2359271,2008,4,15,2,1525,1420,1834,1720,CO,377,N24212,189,180,168,74,65,RSW,EWR,1068,9,12,0,N,0,0,0,9,0,65
4192260,2008,7,17,4,1332,1316,1633,1623,CO,1083,N27205,241,247,206,10,16,BOS,IAH,1597,10,25,0,N,0,,,,,
6690143,2008,12,15,1,1841,1811,2046,2018,UA,1505,N467UA,125,127,101,28,30,DEN,BOI,649,3,21,0,N,0,28,0,0,0,0
2844800,2008,5,2,5,1236,1225,1429,1410,9E,2039,91479E,113,105,78,19,11,RIC,ATL,481,10,25,0,N,0,0,0,8,0,11
3979869,2008,7,14,1,1344,1313,1459,1435,FL,724,N968AT,75,82,62,24,31,DAY,BWI,406,6,7,0,N,0,0,0,0,0,24
748301,2008,2,1,5,735,720,1023,953,OH,5387,N916CA,108,93,75,30,15,CID,CVG,419,1,32,0,N,0,15,0,15,0,0
2789080,2008,5,4,7,1416,1320,1539,1450,MQ,3941,N698CB,83,90,72,49,56,SGF,ORD,438,4,7,0,N,0,49,0,0,0,0
6830252,2008,12,16,2,1715,1420,1931,1600,MQ,3794,N692MQ,196,160,151,211,175,FWA,DFW,859,16,29,0,N,0,0,0,46,0,165
2916706,2008,5,31,6,1430,1355,1643,1615,AA,2352,N547AA,133,140,112,28,35,DFW,ORD,802,7,14,0,N,0,6,0,0,0,22
3108374,2008,6,5,4,1944,1935,2106,2052,XE,2028,N16944,82,77,51,14,9,IAH,BRO,308,4,27,0,N,0,,,,,
3691818,2008,7,29,2,1452,1445,1553,1550,WN,1782,N473WN,61,65,48,3,7,DAL,LIT,296,5,8,0,N,0,,,,,
610356,2008,2,4,1,1151,1145,1328,1315,WN,2438,N336SW,157,150,145,13,6,HOU,DEN,883,5,7,0,N,0,,,,,
2581393,2008,5,16,5,1835,1751,2003,1915,OO,5859,N745SK,148,144,131,48,44,SAV,ORD,773,5,12,0,N,0,0,0,48,0,0
5330342,2008,9,29,1,1340,1330,1810,1750,AS,88,N559AS,210,200,188,20,10,ANC,SEA,1449,6,16,0,N,0,0,0,10,0,10
271119,2008,1,12,6,1116,1045,1655,1643,US,304,N914AW,219,238,192,12,31,PHX,CLT,1774,6,21,0,N,0,,,,,
4899088,2008,9,19,5,2036,2010,2204,2145,WN,1779,N612SW,148,155,121,19,26,MDW,DEN,895,6,21,0,N,0,0,0,0,0,19
4785649,2008,8,11,1,1525,1345,1836,1710,B6,87,N521JB,311,325,271,86,100,JFK,SLC,1989,4,36,0,N,0,86,0,0,0,0
6557128,2008,12,30,2,1709,1550,1954,1813,XE,2967,N29917,105,83,59,101,79,MSN,CLE,402,5,41,0,N,0,0,0,22,0,79
3943913,2008,7,30,3,1819,1720,2040,1956,EV,4442,N724EV,81,96,62,44,59,LIT,ATL,453,10,9,0,N,0,44,0,0,0,0
637445,2008,2,12,2,1708,1555,1900,1720,WN,1593,N521SW,112,85,72,100,73,MDW,MCI,405,5,35,0,N,0,0,0,27,0,73
3849226,2008,7,12,6,1056,1046,1444,1455,UA,554,N314UA,168,189,151,-11,10,SLC,ORD,1249,3,14,0,N,0,,,,,
1670462,2008,3,7,5,147,2115,433,10,AA,588,N065AA,166,175,128,263,272,MIA,JFK,1090,17,21,0,N,0,87,0,0,0,176
4131709,2008,7,22,2,1847,1655,2059,1910,AA,1579,N4XMAA,192,195,171,109,112,FLL,ORD,1182,8,13,0,N,0,2,0,0,0,107
5437981,2008,10,19,7,2047,2035,2200,2200,WN,1106,N402WN,73,85,62,0,12,OAK,SNA,371,5,6,0,N,0,,,,,
758650,2008,2,19,2,1943,1925,2055,2040,OH,5448,N391CA,72,75,53,15,18,CVG,GSO,330,5,14,0,N,0,15,0,0,0,0
4346387,2008,8,14,4,1754,1700,2033,1817,XE,2018,N14505,159,77,37,136,54,EWR,PVD,160,5,117,0,N,0,0,54,82,0,0
3104929,2008,6,8,7,2119,1855,23,2107,XE,2988,N12946,184,132,96,196,144,CAE,EWR,602,9,79,0,N,0,0,0,196,0,0
2375735,2008,4,6,7,1005,950,1201,1136,DL,1408,N937DL,116,106,73,25,15,ATL,IAD,533,10,33,0,N,0,0,0,10,0,15
1568200,2008,3,19,3,1818,1710,1926,1820,MQ,3353,N505AE,68,70,48,66,68,DFW,AMA,313,3,17,0,N,0,20,0,0,0,46
4223289,2008,7,12,6,735,720,1016,1020,DL,1435,N619DL,161,180,143,-4,15,BOS,MCO,1121,5,13,0,N,0,,,,,
3849810,2008,7,23,3,853,846,1037,1024,UA,573,N551UA,104,98,68,13,7,SFO,SAN,447,2,34,0,N,0,,,,,
4771184,2008,8,12,2,1717,1705,1956,1951,AS,129,N708AS,219,226,199,5,12,SEA,FAI,1533,3,17,0,N,0,,,,,
5797602,2008,10,27,1,1950,1920,2159,2141,NW,1252,N925US,69,81,53,18,30,ORD,DTW,235,9,7,0,N,0,0,0,0,0,18
2942235,2008,5,20,2,1310,1235,1552,1536,B6,376,N641JB,162,181,141,16,35,FLL,LGA,1076,4,17,0,N,0,0,0,16,0,0
1081584,2008,2,8,5,1023,1015,1311,1315,AA,1402,N403AA,108,120,95,-4,8,DFW,ATL,732,5,8,0,N,0,,,,,
3181597,2008,6,11,3,959,941,1404,1334,OO,4054,N614SK,185,173,137,30,18,SLC,STL,1156,8,40,0,N,0,18,0,12,0,0
3178862,2008,6,9,1,807,750,905,840,OO,6028,N955SW,58,50,26,25,17,ORD,MSN,109,3,29,0,N,0,17,0,8,0,0
3157035,2008,6,17,2,1115,1045,1300,1223,OH,5588,N940CA,105,98,76,37,30,PIT,JFK,340,10,19,0,N,0,30,0,7,0,0
6514126,2008,12,18,4,1009,930,1645,1640,WN,2773,N252WN,216,250,199,5,39,LAS,BUF,1987,3,14,0,N,0,,,,,
1069126,2008,2,15,5,2157,2130,2323,2310,AA,849,N207AA,86,100,75,13,27,DFW,OMA,583,2,9,0,N,0,,,,,
1431674,2008,3,5,3,1924,1750,2036,1902,UA,1441,N451UA,132,132,113,94,94,DEN,ONT,819,5,14,0,N,0,11,0,0,0,83
2358219,2008,4,27,7,2110,2100,2311,2309,CO,1763,N14219,241,249,223,2,10,IAH,SFO,1635,4,14,0,N,0,,,,,
